UniProtID	GeneID	Origin	Inf0h_counts	Inf15h_counts	Inf24h_counts	Inf48h_counts	Inf72h_counts	Inf0h_TMM	Inf15h_TMM	Inf24h_TMM	Inf48h_TMM	Inf72h_TMM	logFC_15h	pval_15h	FDR_15h	logFC_24h	pval_24h	FDR_24h	logFC_48h	pval_48h	FDR_48h	logFC_72h	pval_72h	FDR_72h	Ttest_FDR_24h	Ttest_FDR_48h	Ttest_FDR_72h
A0A0C7TY97	BALF3	Virus	134.5	2577	3903	2472	2040.5	6.568042741	84.25701062	192.5416008	121.4299256	107.6485255	3.397550689	1.51E-19	1.70E-17	5.140945471	6.82E-15	3.05E-12	4.223225397	1.74E-22	6.12E-20	3.831652436	1.89E-06	0.001019004	0.00071	0.58372	0.42507
K9UT88	BALF5	Virus	1502.166667	70677	49211	40465	38581.5	78.51904813	2310.839247	2519.4675	2069.708193	2060.103291	4.687846	3.54E-33	1.04E-30	5.63764922	0.043126163	0.168348668	5.009891154	0.000412709	0.00641344	5.122217668	0.001105982	0.038310636	4.00E-05	0.10583	0.51538
A0A0C7U3F6	BBLF4	Virus	345.3333333	18891	6034.5	4468	3611	18.2844569	617.6558741	323.5604751	238.8656353	198.0290384	4.987039085	5.54E-36	2.31E-33	4.615066015	1.88E-10	3.80E-08	3.874873538	1.41E-22	5.17E-20	3.6694344	0.000556574	0.028431062	6.00E-05	0.34776	0.97155
A0A0C7TY72	BBRF1	Virus	339	13583	15211.5	8872.5	7586	16.19466074	444.1067036	740.3060761	431.8685665	387.4010187	4.549231035	2.14E-31	5.05E-29	5.676982974	1.52E-16	2.48E-13	4.615201271	7.08E-27	1.14E-23	4.734856273	1.24E-07	0.000166483	1.00E-05	0.3148	0.31386
K9US56	BBRF2	Virus	435.8333333	13083	12828	9418.5	7451.5	23.35591369	427.7588164	670.9046964	490.3936288	407.8422699	5.018550819	4.10E-36	1.81E-33	5.819619844	0.114711882	0.312924697	5.092236227	0.12558094	0.36763285	4.804890204	0.003625524	0.065025789	8.00E-05	0.29092	0.92067
A0A0C7TTH0	BcLF1	Virus	2289.833333	83429	59935.5	50418	44070	115.41557	2727.775762	3121.64928	2593.314121	2445.471503	5.219142947	9.06E-39	8.59E-36	5.03318692	1.28E-16	2.48E-13	4.44565159	1.47E-25	9.91E-23	4.114808126	0.000235619	0.019301215	0	0.19089	0.97155
A0A0A8IKY0	BcRF1	Virus	132.1666667	3212	3516.5	1305	1998	6.877759904	105.0188274	178.6504751	66.92760186	100.6562826	4.977334545	5.36E-34	1.72E-31	5.102895081	0.001610867	0.016920168	3.376787142	1.45E-13	1.99E-11	4.067938018	0.003074813	0.059595689	7.00E-05	0.96303	0.97155
G3CKS3	BDLF1	Virus	114.3333333	2562	4410.5	3806	4233	6.010928917	83.766574	235.7947462	201.3871446	241.8407105	4.9387432	3.78E-33	1.07E-30	6.0915333	3.16E-16	3.18E-13	5.192080946	2.22E-21	6.40E-19	4.804245956	1.40E-05	0.00318417	0	0.96303	0.82027
A0A0C7TRL7	BDLF2	Virus	449.6666667	8294	7376	6318.5	5197	21.03304231	271.1787528	370.6322064	311.5315695	277.2288854	5.775309599	3.38E-43	2.39E-39	4.36181748	0.000594898	0.008253823	3.884696646	9.80E-22	3.03E-19	3.718390209	0.005357209	0.080210857	0.00014	0.3068	0.75293
Q3KSQ8	BDLF3	Virus	29.33333333	1104	2187	1658	2325	1.580488185	36.09613493	118.4043666	89.25094446	133.2795562	3.940771139	7.88E-23	1.03E-20	7.438812903	2.76E-15	1.54E-12	5.610931225	3.17E-24	1.51E-21	6.253511089	2.54E-06	0.001205317	9.00E-05	0.96303	0.97155
